Borough,Properties,Min,Max,Median,Mean,Standard Deviation,Lower Quartile,Upper Quartile,Average House Price,Knife Crime,per 1000p,Median Age,Borough Area (Hectares),Public Parks (Hectares),Green Coverage (%),Commute Satisfaction (%),Population,Population Density (/km2),Pubs,Pub Density (/km2),Wealth Rank,Knife Crime Rank,Age Rank,Green Rank,Commute Rank,Pub Rank,Average Lifestyle Rank,Weighted Average Lifestyle Rank,Ranked Weighted Rank Average,Rent Rank,Rent Rank + Lifestyle Rank,Ranked (Rent Rank - (RENT VALUE)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
